merchant_id,total_sales,sales_use_coupon,total_coupon,merchant_min_distance,merchant_max_distance,merchant_mean_distance,merchant_median_distance,merchant_coupon_transfer_rate,coupon_rate
2632,1.0,0.0,4.0,,,,,0.0,0.0
3381,763.0,122.0,4225.0,0.0,10.0,1.9327731092436975,1.0,0.028875739644970415,0.1598951507208388
2099,436.0,120.0,911.0,0.0,7.0,0.5470085470085471,0.0,0.13172338090010977,0.27522935779816515
1569,35.0,8.0,1980.0,0.0,10.0,4.125,4.0,0.00404040404040404,0.22857142857142856
8390,143.0,17.0,58.0,0.0,10.0,1.2352941176470589,1.0,0.29310344827586204,0.11888111888111888
7884,113.0,17.0,200.0,0.0,10.0,1.5,1.0,0.085,0.1504424778761062
5341,1721.0,429.0,1782.0,0.0,10.0,0.06382978723404255,0.0,0.24074074074074073,0.2492736780941313
7555,518.0,77.0,1211.0,0.0,10.0,1.1486486486486487,0.0,0.06358381502890173,0.14864864864864866
2934,1537.0,138.0,839.0,0.0,10.0,1.1626016260162602,0.0,0.16448152562574495,0.08978529603122967
450,366.0,44.0,1831.0,0.0,10.0,0.8571428571428571,0.0,0.02403058438012015,0.12021857923497267
2454,28.0,8.0,15.0,0.0,1.0,0.375,0.0,0.5333333333333333,0.2857142857142857
1940,1.0,0.0,1.0,,,,,0.0,0.0
2709,70.0,8.0,694.0,0.0,1.0,0.6666666666666666,1.0,0.011527377521613832,0.11428571428571428
4860,10.0,10.0,512.0,0.0,4.0,1.4,1.0,0.01953125,1.0
3403,26.0,4.0,13.0,0.0,3.0,1.0,0.5,0.3076923076923077,0.15384615384615385
4442,1.0,0.0,2.0,,,,,0.0,0.0
1169,195.0,23.0,98.0,0.0,10.0,1.0476190476190477,0.0,0.23469387755102042,0.11794871794871795
4195,162.0,12.0,101.0,0.0,1.0,0.1,0.0,0.1188118811881188,0.07407407407407407
3621,321.0,25.0,217.0,0.0,1.0,0.2222222222222222,0.0,0.1152073732718894,0.0778816199376947
2241,9.0,0.0,2.0,,,,,0.0,0.0
760,666.0,61.0,453.0,0.0,1.0,0.1206896551724138,0.0,0.1346578366445916,0.0915915915915916
2786,46.0,5.0,26.0,0.0,8.0,1.6,0.0,0.19230769230769232,0.10869565217391304
4141,3.0,0.0,0.0,,,,,,0.0
6504,52.0,5.0,100.0,0.0,10.0,4.0,2.0,0.05,0.09615384615384616
1433,285.0,18.0,1037.0,0.0,5.0,0.9444444444444444,0.0,0.017357762777242044,0.06315789473684211
4048,1.0,1.0,21.0,,,,,0.047619047619047616,1.0
8236,3.0,0.0,0.0,,,,,,0.0
6485,991.0,183.0,627.0,0.0,5.0,0.39156626506024095,0.0,0.291866028708134,0.1846619576185671
1941,272.0,16.0,141.0,0.0,2.0,0.2857142857142857,0.0,0.11347517730496454,0.058823529411764705
8080,2.0,0.0,0.0,,,,,,0.0
8386,11.0,1.0,212.0,1.0,1.0,1.0,1.0,0.0047169811320754715,0.09090909090909091
4666,28.0,0.0,0.0,,,,,,0.0
2436,488.0,16.0,395.0,0.0,10.0,1.5333333333333334,1.0,0.04050632911392405,0.03278688524590164
4225,3.0,0.0,0.0,,,,,,0.0
4833,39.0,6.0,25.0,1.0,3.0,1.5,1.0,0.24,0.15384615384615385
4660,7.0,1.0,14.0,1.0,1.0,1.0,1.0,0.07142857142857142,0.14285714285714285
6362,23.0,1.0,30.0,,,,,0.03333333333333333,0.043478260869565216
7717,308.0,29.0,271.0,0.0,10.0,1.4137931034482758,0.0,0.1070110701107011,0.09415584415584416
4582,41.0,1.0,164.0,2.0,2.0,2.0,2.0,0.006097560975609756,0.024390243902439025
6486,16.0,2.0,12.0,0.0,2.0,1.0,1.0,0.16666666666666666,0.125
3033,31.0,0.0,0.0,,,,,,0.0
6454,73.0,8.0,1032.0,0.0,10.0,1.375,0.0,0.007751937984496124,0.1095890410958904
2970,326.0,27.0,309.0,0.0,10.0,2.56,2.0,0.08737864077669903,0.08282208588957055
6106,22.0,1.0,24.0,,,,,0.041666666666666664,0.045454545454545456
6189,55.0,3.0,17.0,,,,,0.17647058823529413,0.05454545454545454
7901,1.0,0.0,0.0,,,,,,0.0
6901,551.0,36.0,336.0,0.0,1.0,0.11428571428571428,0.0,0.10714285714285714,0.06533575317604355
4142,434.0,60.0,86.0,0.0,9.0,0.45,0.0,0.6976744186046512,0.1382488479262673
5999,2.0,0.0,0.0,,,,,,0.0
5590,9.0,0.0,0.0,,,,,,0.0
6508,1.0,0.0,0.0,,,,,,0.0
6284,16.0,3.0,39.0,1.0,7.0,5.0,7.0,0.07692307692307693,0.1875
7564,11.0,0.0,0.0,,,,,,0.0
7679,126.0,18.0,96.0,0.0,1.0,0.2857142857142857,0.0,0.1875,0.14285714285714285
7974,166.0,9.0,122.0,0.0,7.0,1.0,0.0,0.07377049180327869,0.05421686746987952
2963,4.0,0.0,3.0,,,,,0.0,0.0
5463,1.0,0.0,1.0,,,,,0.0,0.0
6830,31.0,0.0,6.0,,,,,0.0,0.0
3293,107.0,11.0,94.0,0.0,10.0,1.7777777777777777,0.0,0.11702127659574468,0.102803738317757
2046,5.0,1.0,115.0,0.0,0.0,0.0,0.0,0.008695652173913044,0.2
3525,19.0,0.0,1.0,,,,,0.0,0.0
3262,33.0,0.0,7.0,,,,,0.0,0.0
7265,1.0,0.0,1.0,,,,,0.0,0.0
8369,,0.0,1.0,,,,,0.0,
5430,3.0,0.0,3.0,,,,,0.0,0.0
1520,30.0,30.0,162.0,,,,,0.18518518518518517,1.0
